strut_id,defect,x0,y0,z0,x1,y1,z1,deep_interior
16624,bent,687.2,127.9,660.6,724.6,128.6,699.6,0
16642,thin,129.3,290.0,663.5,101.7,250.2,656.7,1
16656,bent,65.3,248.9,696.2,110.6,251.4,745.6,0
16665,bent,101.5,210.2,695.4,110.6,251.4,745.6,0
16666,bent,101.5,289.2,695.5,110.6,251.4,745.6,0
16678,bent,140.5,286.2,744.8,140.5,250.3,695.8,0
16735,bent,301.5,210.6,741.2,296.2,250.5,696.5,0
16750,bent,335.3,290.0,695.9,339.6,255.6,739.1,0
16752,thin,373.9,210.5,657.5,406.7,249.6,668.6,1
16753,thin,452.5,210.6,658.1,406.7,249.6,668.6,1
16754,thin,452.4,289.1,657.7,406.7,249.6,668.6,1
16755,thin,374.8,289.2,656.7,406.7,249.6,668.6,1
16772,thin,452.6,248.9,696.6,406.7,249.6,668.6,0
16775,thin,413.1,210.1,696.6,406.7,249.6,668.6,0
16779,thin,413.8,289.2,696.8,406.7,249.6,668.6,0
16794,bent,451.6,209.6,735.8,491.0,210.3,697.3,0
16820,missing,528.9,209.1,657.1,568.4,209.9,699.3,0
16897,thin,129.3,290.0,663.5,102.3,328.3,655.9,1
16911,bent,140.5,286.2,744.8,101.5,289.2,695.5,0
16924,thin,129.3,290.0,663.5,180.0,329.1,656.1,1
16932,thin,129.3,290.0,663.5,140.8,328.8,695.7,0
16936,thin,129.3,290.0,663.5,180.8,289.6,696.2,0
16938,bent,140.5,286.2,744.8,180.8,289.6,696.2,0
16962,bent,215.9,358.6,739.8,219.1,328.9,695.6,0
16966,bent,220.9,293.5,739.6,257.8,290.2,696.3,0
17007,missing,332.8,364.9,692.8,336.0,329.4,655.7,0
17024,bent,374.9,328.9,695.8,413.2,330.2,738.3,0
17025,bent,374.9,328.9,695.8,414.1,328.5,657.2,0
17058,bent,530.6,327.2,696.8,493.7,325.2,742.8,0
17078,bent,533.3,281.8,743.5,569.3,287.7,697.1,0
17167,bent,140.4,371.4,742.5,102.2,367.8,695.7,0
17191,bent,140.4,371.4,742.5,141.7,407.7,695.3,0
17194,bent,140.4,371.4,742.5,180.4,368.5,695.6,0
17195,bent,215.9,358.6,739.8,180.4,368.5,695.6,0
17196,bent,141.7,407.7,695.3,183.8,400.2,744.1,0
17197,bent,141.7,407.7,695.3,180.2,407.5,656.1,0
17205,bent,180.4,368.5,695.6,183.8,400.2,744.1,0
17230,bent,297.8,407.3,696.0,259.5,407.0,743.2,0
17233,bent,258.0,368.2,695.4,259.5,407.0,743.2,0
17234,bent,259.2,447.1,695.5,259.5,407.0,743.2,0
17274,bent,376.0,444.8,740.5,375.5,407.8,696.1,0
17282,thin,375.5,407.8,696.1,414.8,445.5,703.8,0
17290,bent,414.8,445.5,703.8,416.0,398.7,743.6,0
17306,bent,453.1,362.8,743.0,492.5,367.8,696.6,0
